fqdn;nome;id_documento;nome_contato;data_cadastro;data_ultalt
a2000.gov.br;SERVICO FEDERAL DE PROCESSAMENTO DE DADOS - SERPRO;033.683.111/0001-07;Gest„o do ServiÁo Internet - SERPRO;15/01/1999 17:39;08/06/2020 13:13
abcd.gov.br;ME - Ministerio do Esporte;002.961.362/0001-74;Ricardo Alexandre Araujo Silva;17/07/2012 14:52;05/09/2022 23:56
abc.gov.br;MinistÈrio das RelaÁıes Exteriores;000.394.536/0065-01;Francisco Carlos de Souza;24/09/2001 19:40;25/05/2022 14:00
abcnaidadecerta.gov.br;MinistÈrio da EducaÁ„o;000.394.445/0139-39;Diretoria de Tecnologia da InformaÁ„o;09/08/2012 13:49;25/05/2022 12:08
abgf.gov.br;AG. BR. GESTORA DE FUNDOS GARANTIDORES E GARANTIAS;017.909.518/0001-45;GUILHERME ESTRADA RODRIGUES;26/12/2013 09:38;05/05/2020 20:44
abin.gov.br;Agencia Brasileira de Inteligencia;001.175.497/0001-41;Rodrigo Bastos Vasconcelos Teperino;08/11/1997 11:00;01/06/2020 17:12
abrasil.gov.br;MINISTERIO DA FAZENDA;000.394.460/0008-18;Gest„o do ServiÁo Internet - SERPRO;20/08/1999 11:50;12/01/2021 11:25
acessoainformacao.gov.br;MinistÈrio da TransparÍncia e Controloadoria-Geral;026.664.015/0001-48;LEONARDO ALAMY MARTINS;28/02/2012 10:43;06/09/2021 16:01
acessoajustica.gov.br;Ministerio do Planejamento;000.489.828/0018-01;Eleidimar Odilia;23/08/2022 21:15;23/08/2022 21:15
acesso.gov.br;MINISTERIO DA FAZENDA;000.394.460/0008-18;Gest„o do ServiÁo Internet - SERPRO;23/11/2018 14:03;27/06/2021 04:15
acessoinformacao.gov.br;MinistÈrio da TransparÍncia e Controloadoria-Geral;026.664.015/0001-48;LEONARDO ALAMY MARTINS;09/03/2012 13:11;06/09/2021 15:56
ac.gov.br;SECRETARIA DE ESTADO DE INDUSTRIA, CIENCIA E TECNO;016.958.425/0001-48;ASSURBANIPAL BARBARY DE MESQUITA;21/10/1998 11:00;04/10/2021 17:31
ac-jus.gov.br;CONSELHO DA JUSTICA FEDERAL;000.508.903/0001-88;Paulo Martins InocÍncio;05/01/2005 10:25;24/01/2020 18:42
acjus.gov.br;CONSELHO DA JUSTICA FEDERAL;000.508.903/0001-88;Paulo Martins InocÍncio;05/01/2005 10:10;24/01/2020 18:43
acraiz.gov.br;Instituto Nacional de Tecnologia InformaÁ„o - ITI;004.039.532/0001-93;Maur√≠cio Augusto Coelho;25/07/2001 14:43;23/03/2022 19:05
acre.gov.br;SECRETARIA DE ESTADO DE INDUSTRIA, CIENCIA E TECNO;016.958.425/0001-48;ASSURBANIPAL BARBARY DE MESQUITA;26/01/2010 13:24;04/10/2021 17:31
acs.gov.br;ALCANTARA CYCLONE SPACE - BINACIONAL;007.752.497/0001-43;Renato Araujo Junior;03/12/2007 16:12;05/05/2020 20:44
ada.gov.br;Ministerio do Planejamento;000.489.828/0018-01;Eleidimar Odilia;23/08/2022 21:15;23/08/2022 21:15
adene.gov.br;Ministerio do Planejamento;000.489.828/0018-01;Eleidimar Odilia;23/08/2022 21:15;23/08/2022 21:15
aeb.gov.br;AgÍncia Espacial Brasileira;086.900.545/0001-70;Carlos Augusto Teixeira de Moura;04/04/2002 14:27;30/05/2022 12:22
aerofacil.gov.br;PRESID√äNCIA DA REP√öBLICA;000.394.411/0001-09;SECRETARIA ESPECIAL DE ADMINISTRAÁ„O;23/12/2013 18:07;15/01/2014 20:30
aeroportodebrasilia.gov.br;INFRAERO - EMPRESA BRASILEIRA DE INFRA-ESTRUTURA;000.352.294/0001-10;Sup. de Tecnologia da InformaÁ„o;12/11/2002 10:56;05/05/2020 20:44
aeroportodesalvador.gov.br;INFRAERO - EMPRESA BRASILEIRA DE INFRA-ESTRUTURA;000.352.294/0001-10;Sup. de Tecnologia da InformaÁ„o;12/11/2002 10:56;05/05/2020 20:44
aeroportoindustria.gov.br;INFRAERO - EMPRESA BRASILEIRA DE INFRA-ESTRUTURA;000.352.294/0001-10;Sup. de Tecnologia da InformaÁ„o;29/01/2002 18:45;05/05/2020 20:44
aeroportoindustrial.gov.br;INFRAERO - EMPRESA BRASILEIRA DE INFRA-ESTRUTURA;000.352.294/0001-10;Sup. de Tecnologia da InformaÁ„o;29/01/2002 18:45;05/05/2020 20:44
aeroshopping.gov.br;INFRAERO - EMPRESA BRASILEIRA DE INFRA-ESTRUTURA;000.352.294/0001-10;Sup. de Tecnologia da InformaÁ„o;29/01/2002 18:45;05/05/2020 20:44
agenciabrasil.gov.br;EMPRESA BRASIL DE COMUNICACAO S.A. - EBC;009.168.704/0001-42;Gilvani Moletta;17/07/2000 13:15;01/04/2009 12:46
agenciacamara.gov.br;Camara dos Deputados;000.530.352/0001-59;Sebasti„o Neiva Filho;19/11/2008 08:40;16/06/2015 13:33
agespacial.gov.br;AgÍncia Espacial Brasileira;086.900.545/0001-70;Carlos Augusto Teixeira de Moura;25/05/1998 17:57;30/05/2022 12:22
aglo.gov.br;Ministerio do Planejamento;000.489.828/0018-01;Eleidimar Odilia;24/08/2022 11:58;24/08/2022 11:58
agricultura.gov.br;MinistÈrio da Agricultura Pecu√°ria e Abastecimento;000.396.895/0001-25;Tereza Cristina;15/04/1997 12:00;27/03/2020 20:58
agritempo.gov.br;EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA;000.348.003/0001-10;Silvia Maria Fonseca Silveira Massruh√°;05/06/2003 18:42;29/07/2015 18:33
agroecologia.gov.br;Ministerio do Desenvolvimento Agrario;001.612.452/0001-97;Ministra Tereza Cristina;19/09/2016 13:24;28/04/2020 13:14
agro.gov.br;MinistÈrio da Agricultura Pecu√°ria e Abastecimento;000.396.895/0001-25;Tereza Cristina;04/03/2021 20:34;04/03/2021 20:34
agrolivre.gov.br;EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA;000.348.003/0001-10;Silvia Maria Fonseca Silveira Massruh√°;03/02/2004 18:31;29/07/2015 18:33
agronet.gov.br;Ministerio do Planejamento;000.489.828/0018-01;Eleidimar Odilia;24/08/2022 12:12;24/08/2022 12:12
agronet-pe.gov.br;ESCOLA AGROTECNICA FEDERAL DE BELO JARDIM;035.672.054/0001-88;Jo„o Almeida;11/04/2002 11:56;02/01/2019 17:23
agu.gov.br;Advocacia-Geral da Uni„o;026.994.558/0001-23;Thiago de Sousa Martins;21/01/1999 19:17;05/05/2020 20:44
ahimoc.gov.br;Ministerio do Planejamento;000.489.828/0018-01;Eleidimar Odilia;24/08/2022 12:14;24/08/2022 12:14
ahimor.gov.br;Ministerio do Planejamento;000.489.828/0018-01;Eleidimar Odilia;24/08/2022 12:14;24/08/2022 12:14
ahinor.gov.br;Ministerio do Planejamento;000.489.828/0018-01;Eleidimar Odilia;24/08/2022 12:14;24/08/2022 12:14
ahipar.gov.br;Ministerio do Planejamento;000.489.828/0018-01;Eleidimar Odilia;24/08/2022 12:14;24/08/2022 12:14
ahitar.gov.br;Ministerio do Planejamento;000.489.828/0018-01;Eleidimar Odilia;24/08/2022 12:14;24/08/2022 12:14
ahrana.gov.br;Ministerio do Planejamento;000.489.828/0018-01;Eleidimar Odilia;24/08/2022 12:14;24/08/2022 12:14
ahsfra.gov.br;Ministerio do Planejamento;000.489.828/0018-01;Eleidimar Odilia;24/08/2022 12:14;24/08/2022 12:14
ahsul.gov.br;COMPANHIA DOCAS DO MARANHAO - CODOMAR;006.347.892/0010-79;luiz fay de azambuja;27/02/2014 14:21;12/05/2020 18:03
aids.gov.br;Fundo Nacional de Sa√∫de;000.530.493/0001-71;Departamento de DoenÁas de CondiÁıes Cro;02/06/1997 12:00;06/04/2016 17:53
aleam.gov.br;ASSEMBLEIA LEGISLATIVA DO ESTADO DO AMAZONAS;004.530.820/0001-46;WANDER MOTTA;13/11/2000 17:30;05/05/2020 20:44
alemg.gov.br;ASSEMBLEIA LEGISLATIVA DE MINAS GERAIS;017.516.113/0001-47;REGISTRO DE REDE ALMG;11/12/1998 14:10;26/05/2022 21:29
al.gov.br;FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE ALAGOAS;035.562.321/0001-64;Fabio Guedes Gomes;04/04/1996 12:00;29/09/2021 15:37
almg.gov.br;ASSEMBLEIA LEGISLATIVA DE MINAS GERAIS;017.516.113/0001-47;REGISTRO DE REDE ALMG;01/01/1996 12:00;07/06/2021 20:48
almoxarifadovirtual.gov.br;MINISTERIO DA FAZENDA;000.394.460/0008-18;Gest„o do ServiÁo Internet - SERPRO;29/09/2018 20:42;07/02/2020 20:58
altatv.gov.br;Ministerio do Planejamento;000.489.828/0018-01;Eleidimar Odilia;24/08/2022 12:14;24/08/2022 12:14
amapa.gov.br;PRODAP-Centro de Gestao da Tecnologia e Informacao;001.591.392/0001-73;Jose Lutiano Costa da Silva;16/01/1998 12:26;02/11/2017 17:35
amazonasenergia.gov.br;Centrais Eletricas do Norte do Brasil;000.357.038/0001-16;Dept de Infraestrutura e Operacoes de TI;28/09/2001 20:14;15/03/2022 13:57
amazonfund-bndes.gov.br;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCI;033.657.248/0001-89;Eduardo Carneiro da Cunha;17/03/2009 14:38;13/02/2014 23:08
amazonfund.gov.br;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCI;033.657.248/0001-89;Eduardo Carneiro da Cunha;17/03/2009 14:54;27/02/2014 23:16
amazoniafund.gov.br;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCI;033.657.248/0001-89;Eduardo Carneiro da Cunha;17/03/2009 14:54;13/02/2014 23:08
amazoniafundo-bndes.gov.br;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCI;033.657.248/0001-89;Eduardo Carneiro da Cunha;17/03/2009 14:38;13/02/2014 23:08
amazoniafundo.gov.br;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCI;033.657.248/0001-89;Eduardo Carneiro da Cunha;17/03/2009 14:54;13/02/2014 23:09
amazonianfund-bndes.gov.br;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCI;033.657.248/0001-89;Eduardo Carneiro da Cunha;17/03/2009 14:38;13/02/2014 23:09
amazonianfund.gov.br;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCI;033.657.248/0001-89;Eduardo Carneiro da Cunha;17/03/2009 14:54;13/02/2014 23:09
amazul.gov.br;Amaz√¥nia Azul Tecnologias de Defesa S.A. - Amazul;018.910.028/0001-21;Charles Magno;16/07/2014 14:06;05/05/2020 20:44
ambiente.gov.br;Ministerio do Planejamento;000.489.828/0018-01;Eleidimar Odilia;24/08/2022 12:14;24/08/2022 12:14
am.gov.br;PRODAM Processamento de Dados Amazonas S.A;004.407.920/0001-80;Lincoln Nunes da Silva;28/11/1996 12:00;05/10/2021 19:17
anac.gov.br;AgÍncia Nacional de AviaÁ„o Civil - ANAC;007.947.821/0001-89;Jose AssumpÁ„o Rodrigues de Almeida;26/04/2006 20:30;25/03/2022 14:33
ana.gov.br;AgÍncia Nacional de √Åguas;004.204.444/0001-08;Fabiano Costa de Almeida;20/03/2001 21:24;30/09/2020 15:25
anapost.gov.br;Empresa Brasileira de Correios e TelÈgrafos;034.028.316/0001-03;Mario Sena;01/02/2000 18:09;05/05/2020 20:44
anatel.gov.br;AGENCIA NACIONAL DE TELECOMUNICACOES - ANATEL;002.030.715/0001-12;Andre Gustavo Farias GonÁalves;22/07/1997 12:00;16/04/2020 13:13
ancine.gov.br;Agencia Nacional do Cinema;004.884.574/0001-20;Manoel Rangel;27/02/2002 17:38;20/09/2016 15:47
aneel.gov.br;ANEEL - AgÍncia Nacional de Energia ElÈtrica;002.270.669/0001-29;Herbert Lima Monteiro;16/01/1998 12:21;29/10/2018 18:45
an.gov.br;Arquivo Nacional;004.374.067/0001-47;Ivan Fernandes Neves;24/07/2009 16:13;29/01/2021 21:52
anm.gov.br;AgÍncia Nacional de MineraÁ„o;000.381.056/0001-33;Divis„o de Gerenciamento Redes e Suporte;30/01/2018 11:30;14/01/2021 18:43
anpd.gov.br;PRESID√äNCIA DA REP√öBLICA;000.394.411/0001-09;SECRETARIA ESPECIAL DE ADMINISTRAÁ„O;12/11/2020 14:29;25/03/2021 22:04
anp.gov.br;AgÍncia Nacional do Petr√≥leo, G√°s Natural e Bioco.;002.313.673/0001-27;Adriana Marc√≠lio;02/02/1998 11:14;30/11/2021 23:12
ans.gov.br;Agencia Nacional de Saude Suplementar;003.589.068/0001-46;Luciene Pinheiro Capra;28/07/2000 17:28;15/07/2022 23:37
ans-saude.gov.br;Ministerio do Planejamento;000.489.828/0018-01;Eleidimar Odilia;24/08/2022 12:16;24/08/2022 12:16
anssaude.gov.br;Ministerio do Planejamento;000.489.828/0018-01;Eleidimar Odilia;24/08/2022 12:14;24/08/2022 12:14
antaq.gov.br;AGENCIA NACIONAL DE TRANSPORTES AQUAVIARIOS;004.903.587/0001-08;Gustavo Henrique de Souto Silva;12/03/2002 12:46;05/05/2020 20:44
antarcticabrazil.gov.br;Ministerio do Planejamento;000.489.828/0018-01;Eleidimar Odilia;24/08/2022 12:14;24/08/2022 12:14
antt.gov.br;AgÍncia Nacional de Transportes Terrestres;004.898.488/0001-77;V√≠ctor Hugo Gouveia de Lucena Lima;15/04/2002 11:34;02/12/2021 12:40
anvisa.gov.br;Agencia Nacional de Vigilancia Sanitaria;003.112.386/0001-11;William Dib;19/05/2000 13:53;09/03/2020 17:34
anvs.gov.br;Ministerio do Planejamento;000.489.828/0018-01;Eleidimar Odilia;24/08/2022 12:14;24/08/2022 12:14
apec.gov.br;Ministerio do Planejamento;000.489.828/0018-01;Eleidimar Odilia;24/08/2022 12:14;24/08/2022 12:14
ap.gov.br;PRODAP-Centro de Gestao da Tecnologia e Informacao;001.591.392/0001-73;Jose Lutiano Costa da Silva;21/10/1998 11:00;10/03/2016 18:07
apo.gov.br;Ministerio do Planejamento;000.489.828/0018-01;Eleidimar Odilia;24/08/2022 12:14;24/08/2022 12:14
apostasurpresa.gov.br;CAIXA ECONOMICA FEDERAL;000.360.305/0674-46;GerÍncia de Internet da CAIXA;04/08/2000 20:46;16/07/2015 18:28
app.gov.br;Ministerio do Planejamento OrÁamento e Gest„o;000.489.828/0003-17;Merched Cheheb Oliveira;04/06/2019 14:46;16/04/2020 13:52
aprendendoaexportar.gov.br;MINIST√âRIO DA INDUSTRIA, COMERCIO EXTERIOR E SERVI;000.394.478/0002-24;Alessandro Franca Dantas;04/12/2001 18:36;08/04/2022 20:53
arquitetura.gov.br;Conselho de Arquitetura e Urbanismo do Brasil;014.702.767/0001-77;HAROLDO PINHEIRO VILLAR DE QUEIROZ;28/07/2015 10:55;04/05/2020 20:24
arquivonacional.gov.br;Arquivo Nacional;004.374.067/0001-47;Ivan Fernandes Neves;29/11/1999 13:55;29/01/2021 21:53
artesanatobrasileiro.gov.br;MINIST√âRIO DA INDUSTRIA, COMERCIO EXTERIOR E SERVI;000.394.478/0002-24;Alessandro Franca Dantas;28/03/2018 12:34;29/04/2022 18:38
atlasdeacessoajustica.gov.br;Ministerio do Planejamento;000.489.828/0018-01;Eleidimar Odilia;24/08/2022 12:16;24/08/2022 12:16
auxiliobrasil.gov.br;SUBSEC. DE ASSUNTOS ADMIN. DO MIN. DA CIDADANIA;005.756.246/0001-01;Ricardo Alexandre Araujo Silva;15/03/2022 14:27;05/09/2022 23:56
avancabrasil.gov.br;MINISTERIO DA FAZENDA;000.394.460/0008-18;Gest„o do ServiÁo Internet - SERPRO;20/08/1999 11:50;12/01/2021 11:25
avancar.gov.br;MINISTERIO DA FAZENDA;000.394.460/0008-18;Gest„o do ServiÁo Internet - SERPRO;16/10/2017 16:44;07/02/2020 21:00
avancarparcerias.gov.br;PRESID√äNCIA DA REP√öBLICA;000.394.411/0001-09;SECRETARIA ESPECIAL DE ADMINISTRAÁ„O;15/12/2017 18:34;24/01/2018 13:26
avasus.gov.br;FUNDACAO OSWALDO CRUZ;033.781.055/0009-92;Francisco Eduardo de Campos;05/12/2017 16:23;22/08/2022 17:28
aviacaocivil.gov.br;Ministerio do Planejamento;000.489.828/0018-01;Eleidimar Odilia;24/08/2022 12:16;24/08/2022 12:16
aviacao.gov.br;Ministerio do Planejamento;000.489.828/0018-01;Eleidimar Odilia;24/08/2022 12:16;24/08/2022 12:16
avozdobrasil.gov.br;EMPRESA BRASIL DE COMUNICACAO S.A. - EBC;009.168.704/0001-42;Gilvani Moletta;18/01/2016 13:07;18/01/2016 13:07
bacen.gov.br;Banco Central do Brasil;000.038.166/0001-05;Caio Moreira Fernandes;26/11/1996 11:00;17/06/2015 22:19
baciadoprata.gov.br;Ministerio do Planejamento;000.489.828/0018-01;Eleidimar Odilia;24/08/2022 12:16;24/08/2022 12:16
badesc.gov.br;AGENCIA DE FOMENTO DO ESTADO DE SANTA CATARINA S.A;082.937.293/0001-00;Claudio Rogerio Fernandes;28/06/1996 12:00;15/08/2022 17:20
ba.gov.br;Cia. de Processamento de Dados do Estado da Bahia;013.579.586/0001-32;Euler Reis das Virgens;27/12/1995 12:00;06/10/2021 16:13
bancocentral.gov.br;Banco Central do Brasil;000.038.166/0001-05;Caio Moreira Fernandes;31/12/1998 00:24;17/06/2015 22:20
bancodaterra.gov.br;Ministerio do Planejamento;000.489.828/0018-01;Eleidimar Odilia;24/08/2022 12:16;24/08/2022 12:16
bancodeconteudos.gov.br;Ministerio da Cultura;003.221.904/0001-35;Olga Futemma;12/02/2010 17:00;05/05/2020 20:44
bancodeoportunidades.gov.br;MINISTERIO DA FAZENDA;000.394.460/0008-18;Gest„o do ServiÁo Internet - SERPRO;10/09/1999 18:30;12/01/2021 11:25
bancodonordeste.gov.br;BANCO DO NORDESTE DO BRASIL S/A;007.237.373/0016-06;Cl√°udio REGINALDO Alexandre;18/03/2002 13:34;07/06/2019 20:00
banconordeste.gov.br;BANCO DO NORDESTE DO BRASIL S/A;007.237.373/0001-20;Cl√°udio REGINALDO Alexandre;09/02/1998 12:03;07/06/2019 20:00
bcb.gov.br;Banco Central do Brasil;000.038.166/0001-05;Caio Moreira Fernandes;24/01/1996 12:00;17/06/2015 22:20
bcc.gov.br;Ministerio da Cultura;003.221.904/0001-35;Olga Futemma;12/02/2010 17:00;05/05/2020 20:44
bcdam.gov.br;Ministerio do Planejamento;000.489.828/0018-01;Eleidimar Odilia;24/08/2022 12:16;24/08/2022 12:16
bc.gov.br;Banco Central do Brasil;000.038.166/0001-05;Caio Moreira Fernandes;30/12/1998 18:22;17/06/2015 22:20
bdep.gov.br;Ministerio do Planejamento;000.489.828/0018-01;Eleidimar Odilia;24/08/2022 12:16;24/08/2022 12:16
bdjur.gov.br;SUPERIOR TRIBUNAL DE JUSTICA;000.488.478/0001-02;Secretaria de Tecnologia da InformaÁ„o;13/10/2004 14:50;23/06/2021 17:08
belomonte.gov.br;Centrais Eletricas do Norte do Brasil;000.357.038/0001-16;Dept de Infraestrutura e Operacoes de TI;08/05/2002 14:33;15/03/2022 13:57
bemrecebercopa.gov.br;Ministerio do Planejamento;000.489.828/0018-01;Eleidimar Odilia;24/08/2022 12:16;24/08/2022 12:16
bid2002brasil.gov.br;MINISTERIO DA FAZENDA;000.394.460/0008-18;Gest„o do ServiÁo Internet - SERPRO;14/11/2001 17:57;12/01/2021 11:25
biodiesel.gov.br;Ministerio do Planejamento;000.489.828/0018-01;Eleidimar Odilia;24/08/2022 12:16;24/08/2022 12:16
biodiversidade.gov.br;INSTITUTO CHICO MENDES DE CONS. DA BIODIVERSIDADE;008.829.974/0001-94;Homero de Giorge Cerqueira;06/01/2011 18:04;19/04/2013 12:32
bioform.gov.br;FUNDACAO OSWALDO CRUZ;033.781.055/0015-30;Marcelo CorrÍa de Castro;01/04/2013 12:23;02/06/2022 18:05
bnb.gov.br;BANCO DO NORDESTE DO BRASIL S/A;007.237.373/0001-20;Cl√°udio REGINALDO Alexandre;24/04/1996 12:00;25/11/2019 20:15
